"seccion_censal","lat_centro","lon_centro"
"2807906042",40.4523353,-3.7018045
"2807906043",40.45366855,-3.70100009
"2807906044",40.4533571,-3.69823272
"2807906045",40.45323783,-3.69608437
"2807906046",40.45395455,-3.69248773
"2807906048",40.45568713,-3.69351214
"2807906049",40.45579715,-3.69534613
"2807906050",40.45460379,-3.69545793
"2807906051",40.45531459,-3.69695737
"2807906052",40.45561835,-3.69836967
"2807906053",40.45497712,-3.70086158
"2807906054",40.456282,-3.70024784
"2807906056",40.45784603,-3.69910849
"2807906057",40.45883959,-3.69843903
"2807906058",40.46018836,-3.6976193
"2807906059",40.45880674,-3.69560035
"2807906060",40.45707876,-3.69658111
"2807906061",40.45737408,-3.69536392
"2807906062",40.45776022,-3.69330279
"2807906063",40.45764724,-3.69114362
"2807906064",40.45993837,-3.6920948
"2807906065",40.46140588,-3.69188319
"2807906066",40.46032637,-3.6952259
"2807906067",40.4616992,-3.69680214
"2807906068",40.46223767,-3.6952859
"2807906069",40.46394469,-3.69441653
"2807906070",40.46355733,-3.69257539
"2807906071",40.46389664,-3.69052523
"2807906072",40.46607648,-3.69277515
"2807906073",40.46926824,-3.69753158
"2807906074",40.46769361,-3.69218202
"2807906075",40.4698174,-3.69186811
"2807906076",40.46877497,-3.6900464
"2807906077",40.47012926,-3.68931067
"2807906078",40.47169248,-3.68902837
"2807906079",40.47352848,-3.68831326
"2807906080",40.47205064,-3.69067633
"2807906081",40.47251586,-3.69357974
"2807906084",40.47319645,-3.69681426
"2807906085",40.47062885,-3.69364592
"2807906089",40.47109099,-3.70069089
"2807906090",40.46927722,-3.70048753
"2807906091",40.46687916,-3.69777991
"2807906092",40.46414525,-3.69753085
"2807906093",40.46699726,-3.69996459
"2807906094",40.46588592,-3.70114967
"2807906095",40.46754091,-3.70218371
"2807906096",40.46834712,-3.70255566
"2807906097",40.46930114,-3.70355181
"2807906098",40.46832199,-3.7047283
"2807906099",40.46861964,-3.70806459
"2807906101",40.46670871,-3.70674515
"2807906102",40.46599506,-3.70456436
"2807906103",40.46473681,-3.70462852
"2807906104",40.46407377,-3.7025556
"2807906105",40.46316949,-3.70084342
"2807906106",40.46390638,-3.69947398
"2807906107",40.46202094,-3.69852875
"2807906108",40.46025583,-3.69999647
"2807906109",40.46098254,-3.70198623
"2807906110",40.46238314,-3.70375124
"2807906111",40.46227071,-3.70558303
"2807906112",40.46197635,-3.70736991
"2807906113",40.46052933,-3.70654009
"2807906114",40.45994691,-3.70847299
"2807906115",40.45919733,-3.70702485
"2807906116",40.45943983,-3.7045083
"2807906117",40.45873957,-3.70233581
"2807906118",40.45667886,-3.70281253
"2807906119",40.45532827,-3.70307492
"2807906120",40.45671056,-3.7038353
"2807906121",40.45782177,-3.70529806
"2807906122",40.45751305,-3.70686682
"2807906123",40.45745752,-3.70879195
"2807906124",40.45850158,-3.71002374
"2807906125",40.45443152,-3.7118982
"2807906126",40.46541672,-3.69703613
"2807906127",40.46939692,-3.69445094
"2807906128",40.47065486,-3.69890729
"2807906129",40.46731743,-3.69590226
"2807907001",40.43127501,-3.71565756
"2807907002",40.43112712,-3.71402592
"2807907003",40.43101583,-3.71261394
"2807907004",40.43237484,-3.71249915
"2807907005",40.43242625,-3.71392969
"2807907006",40.43311285,-3.71504386
"2807907007",40.43254547,-3.71663768
"2807907008",40.43450309,-3.71739642
"2807907009",40.43376988,-3.7161546
"2807907010",40.43362083,-3.71300981
"2807907011",40.43482517,-3.71268278
"2807907012",40.4348302,-3.71514564
"2807907013",40.43603944,-3.71738586
"2807907014",40.43595868,-3.71544705
"2807907015",40.43588079,-3.71369637
"2807907016",40.43581868,-3.71223875
"2807907017",40.43698349,-3.71215431
"2807907018",40.43775141,-3.71357977
"2807907019",40.43713341,-3.71537904
"2807907021",40.43812278,-3.7162998
"2807907023",40.438281,-3.71205368
"2807907024",40.43821294,-3.7105954
"2807907025",40.43815384,-3.70918123
"2807907026",40.43764357,-3.70655315
"2807907028",40.43655828,-3.7054884
"2807907030",40.43684435,-3.70927421
"2807907031",40.43691043,-3.71069078
"2807907032",40.43571354,-3.70995584
"2807907034",40.43560192,-3.70767012
"2807907035",40.43554422,-3.70620798
"2807907036",40.43475877,-3.70498359
"2807907038",40.43437804,-3.70626683
"2807907039",40.43448082,-3.70776288
"2807907040",40.43461535,-3.71004294
"2807907041",40.4334805,-3.71016006
"2807907042",40.43336048,-3.70729573
"2807907043",40.43237125,-3.7058158
"2807907044",40.43218088,-3.70799132
"2807907045",40.43227011,-3.7095988
"2807907046",40.43232276,-3.71101565
"2807907047",40.43090809,-3.71111336
"2807907048",40.43075839,-3.70888726
"2807907049",40.43060829,-3.7063915
"2807907050",40.42969367,-3.70404722
"2807907051",40.42984056,-3.70181034
"2807907052",40.43075063,-3.70217749
"2807907053",40.43069126,-3.70419272
"2807907055",40.43212462,-3.70427198
"2807907056",40.43148034,-3.7022318
"2807907057",40.43158781,-3.70031274
"2807907058",40.4323916,-3.70255048
"2807907059",40.43341697,-3.70269249
"2807907060",40.43434809,-3.70321737
"2807907061",40.43539326,-3.70323066
"2807907062",40.43652521,-3.70345453
"2807907063",40.43781167,-3.7026521
"2807907064",40.43723613,-3.7002837
"2807907065",40.43564632,-3.69999349
"2807907066",40.4364353,-3.70178799
"2807907067",40.4351614,-3.70130008
"2807907068",40.43404728,-3.69917031
"2807907069",40.43368192,-3.7006324
"2807907070",40.43267521,-3.69895258
"2807907071",40.43132199,-3.69823969
"2807907072",40.42961081,-3.69794068
"2807907073",40.42894913,-3.69917982
"2807907075",40.42709133,-3.69226719
"2807907076",40.42890192,-3.69416624
"2807907078",40.43011567,-3.69356194
"2807907079",40.43080949,-3.69604535
"2807907080",40.43194333,-3.69499321
"2807907081",40.43089172,-3.6909038
"2807907082",40.43419829,-3.69054584
"2807907083",40.43347379,-3.69229126
"2807907084",40.43397445,-3.69407972
"2807907085",40.43390227,-3.69661947
"2807907086",40.43536636,-3.69776764
"2807907087",40.43571872,-3.69440111
"2807907088",40.43613893,-3.69557271
"2807907089",40.43622578,-3.69785577
